seuil,cout,faux_negatifs,faux_positifs,clients_contactes
0.01,249750.0,3,3566,4965
0.0149,241300.0,8,3352,4746
0.0198,233850.0,11,3176,4567
0.0247,227750.0,15,3018,4405
0.0296,223700.0,22,2874,4254
0.0345,219500.0,26,2754,4130
0.0394,216500.0,29,2667,4040
0.0443,214450.0,33,2590,3959
0.0492,211400.0,35,2511,3878
0.0541,210200.0,40,2442,3804
0.059,208650.0,43,2384,3743
0.0639,206950.0,47,2314,3669
0.0688,207900.0,55,2261,3608
0.0737,206250.0,58,2201,3545
0.0786,205250.0,62,2145,3485
0.0835,205950.0,70,2087,3419
0.0884,206400.0,75,2051,3378
0.0933,206300.0,81,1995,3316
0.0982,206150.0,86,1947,3263
0.1031,207550.0,93,1912,3221
0.108,207400.0,96,1882,3188
0.1129,208800.0,102,1856,3156
0.1178,209000.0,106,1824,3120
0.1227,207750.0,108,1781,3075
0.1276,208550.0,113,1752,3041
0.1325,209250.0,118,1721,3005
0.1374,209850.0,122,1697,2977
0.1423,210550.0,127,1666,2941
0.1472,210850.0,130,1645,2917
0.1521,211400.0,134,1620,2888
0.157,212000.0,138,1596,2860
0.1619,212600.0,142,1572,2832
0.1668,212700.0,145,1547,2804
0.1717,213450.0,151,1508,2759
0.1766,213400.0,154,1480,2728
0.1815,217450.0,167,1444,2679
0.1864,219150.0,173,1424,2653
0.1913,220800.0,180,1394,2616
0.1962,222050.0,187,1356,2571
0.2011,222900.0,192,1328,2538
0.206,222950.0,197,1284,2489
0.2109,227350.0,210,1255,2447
0.2158,229200.0,217,1229,2414
0.2207,233050.0,229,1198,2371
0.2256,234600.0,235,1175,2342
0.2305,235500.0,239,1157,2320
0.2354,237150.0,244,1145,2303
0.2403,238800.0,249,1133,2286
0.2452,241400.0,257,1113,2258
0.2501,242150.0,261,1092,2233
0.255,244950.0,268,1085,2219
0.2599,247450.0,276,1063,2189
0.2648,248800.0,282,1036,2156
0.2697,252050.0,292,1011,2121
0.2746,254850.0,301,986,2087
0.2795,256600.0,307,967,2062
0.2844,257900.0,312,948,2038
0.2893,259650.0,318,929,2013
0.2942,263200.0,328,910,1984
0.2991,266300.0,337,891,1956
0.304,268700.0,344,876,1934
0.3089,272100.0,353,863,1912
0.3138,273250.0,357,850,1895
0.3187,277250.0,367,840,1875
0.3236,280200.0,375,827,1854
0.3285,285100.0,388,808,1822
0.3334,285600.0,391,791,1802
0.3383,288850.0,400,775,1777
0.3432,290450.0,405,762,1759
0.3481,293100.0,412,752,1742
0.353,294900.0,418,734,1718
0.3579,295550.0,421,720,1701
0.3628,299750.0,431,714,1685
0.3677,302000.0,437,705,1670
0.3726,305100.0,446,686,1642
0.3775,307950.0,454,671,1619
0.3824,311500.0,463,661,1600
0.3873,313300.0,469,643,1576
0.3922,315900.0,477,623,1548
0.3971,318300.0,484,608,1526
0.402,320250.0,490,593,1505
0.4069,321950.0,495,582,1489
0.4118,323650.0,500,571,1473
0.4167,325350.0,505,560,1457
0.4216,326900.0,510,546,1438
0.4265,328850.0,515,540,1427
0.4314,331600.0,522,532,1412
0.4363,335500.0,532,520,1390
0.4412,338750.0,541,504,1365
0.4461,340900.0,547,493,1348
0.451,346850.0,562,477,1317
0.4559,352850.0,576,471,1297
0.4608,356800.0,586,460,1276
0.4657,358300.0,591,445,1256
0.4706,361700.0,600,432,1234
0.4755,364800.0,608,422,1216
0.4804,367750.0,616,409,1195
0.4853,370050.0,622,401,1181
0.4902,375800.0,636,390,1156
0.4951,377850.0,642,377,1137
0.5,382000.0,652,370,1120
0.5049,386750.0,664,357,1095
0.5098,388400.0,669,345,1078
0.5147,392350.0,679,334,1057
0.5196,399600.0,696,326,1032
0.5245,402750.0,704,317,1015
0.5294,407750.0,716,309,995
0.5343,409600.0,721,301,982
0.5392,411600.0,726,296,972
0.5441,414200.0,732,294,964
0.549,419050.0,744,283,941
0.5539,425050.0,759,268,911
0.5588,430450.0,772,259,889
0.5637,434050.0,781,250,871
0.5686,441000.0,797,245,850
