variable,importance,ecart_type
tenure,0.060589394636420976,0.006027957352655071
InternetService,0.04717225607233509,0.005022761615996802
Contract,0.04292832344306936,0.00528034098575051
client_recent,0.017970521166709042,0.0032856319840390744
MonthlyCharges,0.013514524290995445,0.001501799692050117
facture_moyenne,0.013111742881823119,0.0015013609871068951
nb_services,0.01178359021542339,0.00306656844901548
TechSupport,0.006229625118732729,0.0009466424995627726
OnlineSecurity,0.005130250306967665,0.001864892857134285
PaymentMethod,0.0038092960757771578,0.0011412012606148868
PaperlessBilling,0.0028595163313463678,0.0013682338685542647
StreamingMovies,0.0026316486236922175,0.0012407302991624286
StreamingTV,0.002522017282863653,0.0010957294129674004
OnlineBackup,0.0022414437909772378,0.0006319615708116992
DeviceProtection,0.0014938821574785321,0.000491304977248755
MultipleLines,0.00133386177018614,0.000865565391511057
PhoneService,0.0012683311875927527,0.00037214810513113973
SeniorCitizen,0.0011891484002924946,0.0005856485687108853
evolution_facture,0.00043331270333505365,0.00040598596834302483
Dependents,0.00037903484704556736,0.0005710058761431639
Partner,5.295400613514189e-06,1.9277680063336847e-05
gender,-5.4029634385788225e-05,3.842418412805196e-05
TotalCharges,-7.744523397404946e-05,0.000999375020057789
